client_id,canonical_name,recorded_name,bucket,expected_alert,expected_tier,name_noise,pan_present,reason,linked_watchlist_id
C1570,Preeti Joshi,Preeti Joshi,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1400,Rehan Chauhan,Rehan Chauhan,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1532,Ritu Vaidya,Ritu Vaidya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1047,Shri Ram Real Estate and Business Solution Limited,Shri Ram Real Estate and Business Solution Limited,A_TRUE_SANCTION,1,HIGH,none,0,PAN exact-matches an active NSE/SEBI debarment (corporate),in-nse-deb-f7e693044a0afdb6179025a513699a78447b619b
C1883,Vindhya Exports India Pvt Ltd,Vindhya Exports India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2129,Bhaskar Industries Ltd,Bhaskar Industries Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2680,Swati Nair,Swati Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2814,Farah Trivedi,Farah Trivedi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1305,Priya Pillai,Priya Pillai,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1296,Meridian Exports LLP,Meridian Exports LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2717,Aravali Infra LLP,Aravali Infra LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2565,Zoya Rao,Zoya Rao,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2340,Kaveri Logistics LLP,Kaveri Logistics LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2898,Meera Mehta,Meera Mehta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2624,Ritu Nair,Ritu Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2990,Pooja Bhattacharya,Pooja Bhattacharya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2329,Chandra Logistics Pvt Ltd,Chandra Logistics Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2139,Meridian Enterprises Ltd,Meridian Enterprises Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1303,Kaveri Industries Pvt Ltd,Kaveri Industries Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2247,Pooja Malhotra,Pooja Malhotra,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1155,Kuldeep Indora,Kuldeep Indora,D_TRUE_PEP,1,EDD,none,1,"Sitting MP (Indian National Congress) -> PEP / enhanced due diligence, NOT an adverse-media hit",Q125555999
C2358,Meridian Enterprises LLP,Meridian Enterprises LLP,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2233,Nisha Bhatt,Nisha Bhatt,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1192,Shrimati Jyotsna Suri,shrimati jyotsna suri,E_TRUE_RCA,1,EDD_LITE,case,1,Relative/close associate of a PEP (Sabha family graph),in-sansad-6df6d738a255a10ee6f1a5f941435665d725b421
C2456,Aravali Industries India Pvt Ltd,Aravali Industries India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2959,Swati Kulkarni,Swati Kulkarni,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2196,Rohan Bhatt,Rohan Bhatt,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2864,Rahul Pillai,Rahul Pillai,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1776,Karan Bhardwaj,Karan Bhardwaj,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1093,VINOD MASSON,VINOD MASSON,B_FP_PAN_MISMATCH,0,NONE,none,1,Name matches a debarred entity but PAN differs -> different person,in-nse-deb-a15f67c524ddaaae1b797f91c6d6233423be0365
C1675,Pooja Nair,Pooja Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1506,Ritu Bhattacharya,Ritu Bhattacharya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1886,Kaveri Exports LLP,Kaveri Exports LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1501,Ritu Trivedi,Ritu Trivedi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1790,Meridian Enterprises LLP,Meridian Enterprises LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2337,Ritu Pillai,Ritu Pillai,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1580,Gaurav Sethi,Gaurav Sethi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2775,Varun Joshi,Varun Joshi,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1994,Meridian Ventures Pvt Ltd,Meridian Ventures Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1145,Azad Kirti Jha,Azad Kirti Jha,D_TRUE_PEP,1,EDD,none,0,"Sitting MP (All India Trinamool Congress) -> PEP / enhanced due diligence, NOT an adverse-media hit",Q2728260
C2798,Priya Rao,Priya Rao,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2077,Satpura Enterprises Ltd,Satpura Enterprises Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2333,Vikram Chauhan,Vikram Chauhan,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2422,Nilgiri Chemicals LLP,Nilgiri Chemicals LLP,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1064,Niranjani,Dr. Niranjani,B_FP_PAN_MISMATCH,0,NONE,honorific,0,Name matches a debarred entity but PAN differs -> different person,in-nse-deb-3e9eaeba027b8e0dc4071c481c8398b24b2cc3be
C1446,Zenith Infra India Pvt Ltd,Zenith Infra India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1230,Sajad Sethi,SAJAD SETHI,F_FP_UAPA_ALIAS,0,NONE,case,1,Matches the bare UAPA alias 'Sajad'. Single-token / common-name aliases must never trigger alone.,
C2227,Arjun Bhardwaj,Arjun Bhardwaj,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1044,M/s. Vaibhav Pariwar India Projects Limited,M/s. Vaibhav Pariwar India Prjects Limited,A_TRUE_SANCTION,1,HIGH,typo,1,PAN exact-matches an active NSE/SEBI debarment (corporate),in-nse-deb-4af6799905ce38de8652be12ea4aa67b3794b17c
C1618,Tanvi Chauhan,Tanvi Chauhan,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2666,Nilgiri Ventures LLP,Nilgiri Ventures LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1016,Shekhar Chander,"Mr. Chander, Shekhar",A_TRUE_SANCTION,1,HIGH,reorder+honorific,1,PAN exact-matches an active NSE/SEBI debarment,in-nse-deb-da23cfdeb9d504a74856b4deba2a7de9b0ed68c2
C2505,Neha Trivedi,Neha Trivedi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2865,Sundara Enterprises Pvt Ltd,Sundara Enterprises Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1779,Neha Vaidya,Neha Vaidya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1652,Chandra Exports Ltd,Chandra Exports Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1493,Isha Kulkarni,Isha Kulkarni,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1317,Nilgiri Holdings Pvt Ltd,Nilgiri Holdings Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2182,Aravali Industries Ltd,Aravali Industries Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2087,Kaveri Ventures Ltd,Kaveri Ventures Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2916,Deepak Menon,Deepak Menon,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1864,Deepak Dutta,Deepak Dutta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1046,Indian Agri Services Private Limited,Mr. Indian Agri Services Private Limited,A_TRUE_SANCTION,1,HIGH,honorific,1,PAN exact-matches an active NSE/SEBI debarment (corporate),in-nse-deb-a5dd0f3ebe19975a4f7a91a19561ce036311531b
C1330,Bhaskar Exports Pvt Ltd,Bhaskar Exports Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2535,Aditya Saxena,Aditya Saxena,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2980,Varun Ghosh,Varun Ghosh,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1572,Chandra Enterprises Pvt Ltd,Chandra Enterprises Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2790,Chandra Ventures Pvt Ltd,Chandra Ventures Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1370,Neha Nair,Neha Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2673,Priya Bhatt,Priya Bhatt,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2866,Anjali Chatterjee,Anjali Chatterjee,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1578,Swati Mehta,Swati Mehta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2573,Chandra Chemicals Ltd,Chandra Chemicals Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1097,SUDHASH NATARAJAN,SUDHASH NATARAJAN,B_FP_PAN_MISMATCH,0,NONE,none,1,Name matches a debarred entity but PAN differs -> different person,in-nse-deb-e7a519d4bd36a3a02f725aa6b177eb71769ffd35
C2712,Bhaskar Industries Pvt Ltd,Bhaskar Industries Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2669,Gaurav Nair,Gaurav Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2615,Shreya Sethi,Shreya Sethi,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1871,Rehan Bhardwaj,Rehan Bhardwaj,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2558,Konark Capital Pvt Ltd,Konark Capital Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2781,Meridian Chemicals Pvt Ltd,Meridian Chemicals Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1577,Kunal Iyer,Kunal Iyer,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1298,Meridian Exports India Pvt Ltd,Meridian Exports India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2475,Preeti Malhotra,Preeti Malhotra,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1981,Isha Reddy,Isha Reddy,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1054,Shri Sunipa Das,Shri Sunipa Das,B_FP_PAN_MISMATCH,0,NONE,none,1,Name matches a debarred entity but PAN differs -> different person,in-nse-deb-3ed1feb3f505c99fa1e7abed8c8c34787585339b
C2785,Meridian Industries LLP,Meridian Industries LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1156,Awadhesh Prasad,Awadhesh Prasad,D_TRUE_PEP,1,EDD,none,0,"Sitting MP (Samajwadi Party) -> PEP / enhanced due diligence, NOT an adverse-media hit",Q125542037
C1193,Drupati Devi,Drupati Devi,E_TRUE_RCA,1,EDD_LITE,none,0,Relative/close associate of a PEP (Sabha family graph),in-sansad-7943172559ca4c18fcfed8413ce3074b95a3c22d
C2112,Sundara Logistics Pvt Ltd,Sundara Logistics Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1617,Nisha Nair,Nisha Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2282,Zoya Chauhan,Zoya Chauhan,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1363,Bhaskar Logistics India Pvt Ltd,Bhaskar Logistics India Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2393,Anantara Holdings LLP,Anantara Holdings LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2423,Kaveri Enterprises Ltd,Kaveri Enterprises Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2596,Pooja Saxena,Pooja Saxena,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1536,Bhaskar Textiles India Pvt Ltd,Bhaskar Textiles India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1081,Sasanka Roy Sarkar,Sasanka Roy Sarkar,B_FP_PAN_MISMATCH,0,NONE,none,0,Name matches a debarred entity but PAN differs -> different person,in-nse-deb-1561747d31ab7725edf081a760c2f9b018cf8774
C2415,Chandra Textiles India Pvt Ltd,Chandra Textiles India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2349,Zoya Mehta,Zoya Mehta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1712,Rehan Saxena,Rehan Saxena,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2830,Meridian Enterprises Pvt Ltd,Meridian Enterprises Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2767,Chandra Infra LLP,Chandra Infra LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2975,Anantara Holdings LLP,Anantara Holdings LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2278,Manav Menon,Manav Menon,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1132,Shri. Anand Mohan,Shri. Anand Mohan,C_FP_PEP_COLLISION,0,NONE,none,1,Name on BOTH the PEP register and the debarred list; the two sources share no identifier -> must not auto-link,
C2180,Pooja Pillai,Pooja Pillai,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1434,Preeti Saxena,Preeti Saxena,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2696,Meridian Exports India Pvt Ltd,Meridian Exports India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1681,Meridian Textiles Pvt Ltd,Meridian Textiles Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1905,Nisha Menon,Nisha Menon,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1284,Gaurav Saxena,Gaurav Saxena,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1749,Ritu Ghosh,Ritu Ghosh,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1102,Mr. Deepak Singare,Mr. Deepak Singare,B_FP_PAN_MISMATCH,0,NONE,none,1,Name matches a debarred entity but PAN differs -> different person,in-nse-deb-e379cf68bcc7cb13dbebf46f7483ce7407b162e3
C1271,Vikram Vaidya,Vikram Vaidya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1916,Vindhya Textiles India Pvt Ltd,Vindhya Textiles India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1874,Rahul Reddy,Rahul Reddy,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2095,Kaveri Enterprises India Pvt Ltd,Kaveri Enterprises India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2037,Kaveri Capital Ltd,Kaveri Capital Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1285,Meridian Ventures LLP,Meridian Ventures LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1347,Siddharth Bose,Siddharth Bose,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1417,Ritu Mehta,Ritu Mehta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1971,Chandra Capital India Pvt Ltd,Chandra Capital India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1139,Tapas Mandal,Tapas Mandal,C_FP_PEP_COLLISION,0,NONE,none,0,Name on BOTH the PEP register and the debarred list; the two sources share no identifier -> must not auto-link,
C2755,Kaveri Infra LLP,Kaveri Infra LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2167,Ananya Bhattacharya,Ananya Bhattacharya,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2214,Anantara Industries India Pvt Ltd,Anantara Industries India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2691,Rohan Pillai,Rohan Pillai,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1078,Sankalp Garg,Sankalp Garg,B_FP_PAN_MISMATCH,0,NONE,none,0,Name matches a debarred entity but PAN differs -> different person,in-nse-deb-acbc501232692bca71206c8646c3f1342b22aef5
C2641,Kaveri Chemicals Pvt Ltd,Kaveri Chemicals Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1738,Satpura Capital Ltd,Satpura Capital Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1497,Anantara Logistics India Pvt Ltd,Anantara Logistics India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2262,Zenith Exports India Pvt Ltd,Zenith Exports India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2253,Aravali Holdings Ltd,Aravali Holdings Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1228,Sajjad Reddy,"Reddy, Sajjad",F_FP_UAPA_ALIAS,0,NONE,reorder,1,Matches the bare UAPA alias 'Sajjad'. Single-token / common-name aliases must never trigger alone.,
C1437,Siddharth Malhotra,Siddharth Malhotra,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2458,Bhaskar Infra Pvt Ltd,Bhaskar Infra Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2230,Gaurav Kulkarni,Gaurav Kulkarni,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1680,Preeti Vaidya,Preeti Vaidya,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2442,Shreya Saxena,Shreya Saxena,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2665,Sneha Bhatt,Sneha Bhatt,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2244,Sneha Pillai,Sneha Pillai,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2803,Satpura Ventures Pvt Ltd,Satpura Ventures Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2701,Konark Textiles India Pvt Ltd,Konark Textiles India Pvt Ltd,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1967,Kaveri Industries LLP,Kaveri Industries LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2685,Vindhya Infra Pvt Ltd,Vindhya Infra Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1926,Swati Nair,Swati Nair,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1276,Meridian Industries LLP,Meridian Industries LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1999,Bhaskar Industries India Pvt Ltd,Bhaskar Industries India Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C2810,Zoya Chatterjee,Zoya Chatterjee,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1676,Konark Holdings Pvt Ltd,Konark Holdings Pvt Ltd,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1431,Meera Dutta,Meera Dutta,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1464,Arjun Dutta,Arjun Dutta,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1650,Anantara Capital LLP,Anantara Capital LLP,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2540,Nisha Reddy,Nisha Reddy,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2443,Aravali Enterprises LLP,Aravali Enterprises LLP,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1299,Swati Bhattacharya,Swati Bhattacharya,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C2609,Tanvi Joshi,Tanvi Joshi,H_CLEAN,0,NONE,none,0,Not on any watchlist,
C1012,Shri Pradeep Kumar Pattnaik,Shri Pradeep Kumar Pattnaik,A_TRUE_SANCTION,1,HIGH,none,1,PAN exact-matches an active NSE/SEBI debarment,in-nse-deb-0964994022dcf75c3f44e7bead4fd0b41db68cd4
C1812,Neha Pillai,Neha Pillai,H_CLEAN,0,NONE,none,1,Not on any watchlist,
C1802,Nikhil Bhardwaj,Nikhil Bhardwaj,H_CLEAN,0,NONE,none,1,Not on any watchlist,
