client_id,client_name,client_type,pan,country,sector,branch,onboarding_date,exposure_inr,last_kyc_refresh
C1570,Preeti Joshi,Individual,,IN,NBFC,Kolkata,2024-09-30,1542798,2026-06-11
C1400,Rehan Chauhan,Individual,DYTPC4598S,IN,Pharma,Hyderabad,2023-10-01,1216187,2024-07-29
C1532,Ritu Vaidya,Individual,ERFPV1101I,IN,Gems & Jewellery,Chennai,2021-06-16,99273278,2022-08-11
C1047,Shri Ram Real Estate and Business Solution Limited,Corporate,,IN,NBFC,Ahmedabad,2021-01-08,1265040,2023-09-16
C1883,Vindhya Exports India Pvt Ltd,Corporate,LYGCV7544C,IN,Pharma,Delhi,2020-09-01,36823296,2022-09-02
C2129,Bhaskar Industries Ltd,Corporate,YSSCB8595B,IN,NBFC,Ahmedabad,2021-04-18,4653954,2022-04-06
C2680,Swati Nair,Individual,RWFPN1939S,IN,Commodities,Bengaluru,2024-05-22,6580421,2026-10-09
C2814,Farah Trivedi,Individual,GWIPT6105F,IN,Financial Services,Delhi,2020-09-08,1317725,2021-07-01
C1305,Priya Pillai,Individual,LMIPP6685G,IN,Gems & Jewellery,Pune,2023-11-12,40545994,2025-02-21
C1296,Meridian Exports LLP,Corporate,UIPCM9080Y,IN,Gems & Jewellery,Delhi,2021-01-10,31437479,2022-06-27
C2717,Aravali Infra LLP,Corporate,YIJCA6283Y,IN,Financial Services,Ahmedabad,2020-10-15,1479908,2021-05-16
C2565,Zoya Rao,Individual,UIFPR2629L,IN,Agri,Delhi,2019-12-07,1549097,2020-10-10
C2340,Kaveri Logistics LLP,Corporate,ULVCK8218A,IN,Pharma,Chennai,2022-12-13,22456087,2024-12-03
C2898,Meera Mehta,Individual,IRQPM5079F,IN,IT Services,Hyderabad,2020-07-21,1120401,2021-02-21
C2624,Ritu Nair,Individual,HXZPN0404I,IN,Real Estate,Mumbai,2021-01-14,166454,2021-11-08
C2990,Pooja Bhattacharya,Individual,PHWPB3324F,IN,IT Services,Ahmedabad,2020-09-17,486333,2022-07-20
C2329,Chandra Logistics Pvt Ltd,Corporate,MZSCC7427O,IN,Import/Export,Bengaluru,2023-07-22,1047209,2025-03-08
C2139,Meridian Enterprises Ltd,Corporate,NDSCM7052M,IN,Real Estate,Kolkata,2023-01-30,1533207,2024-11-18
C1303,Kaveri Industries Pvt Ltd,Corporate,,IN,Gems & Jewellery,Pune,2021-03-03,357462,2022-02-08
C2247,Pooja Malhotra,Individual,KQNPM4574Q,IN,Pharma,Ahmedabad,2021-11-26,15642759,2022-11-04
C1155,Kuldeep Indora,Individual,DYTPI9875Q,IN,Financial Services,Bengaluru,2024-06-23,636881,2026-01-07
C2358,Meridian Enterprises LLP,Corporate,,IN,Gems & Jewellery,Ahmedabad,2020-12-21,5235611,2023-06-30
C2233,Nisha Bhatt,Individual,PMVPB9501K,IN,Gems & Jewellery,Ahmedabad,2022-11-03,1723995,2024-05-12
C1192,shrimati jyotsna suri,Individual,YIQPS5851A,IN,IT Services,Hyderabad,2025-05-19,7599697,2025-12-26
C2456,Aravali Industries India Pvt Ltd,Corporate,UQKCA5360R,IN,Gems & Jewellery,Kolkata,2023-08-17,5299531,2025-12-17
C2959,Swati Kulkarni,Individual,,IN,Pharma,Ahmedabad,2023-06-11,3222417,2025-12-14
C2196,Rohan Bhatt,Individual,EHQPB6079O,IN,Financial Services,Kolkata,2024-06-07,5794784,2027-04-30
C2864,Rahul Pillai,Individual,DTUPP5318F,IN,Infrastructure,Ahmedabad,2022-10-17,38892378,2024-05-15
C1776,Karan Bhardwaj,Individual,DTEPB3829J,IN,NBFC,Ahmedabad,2020-06-22,186763237,2022-03-05
C1093,VINOD MASSON,Individual,BMOPM2982T,IN,Import/Export,Mumbai,2022-04-29,16710192,2023-11-04
C1675,Pooja Nair,Individual,XILPN1545Q,IN,NBFC,Pune,2024-08-10,2681562,2026-12-27
C1506,Ritu Bhattacharya,Individual,XTRPB5394Y,IN,Agri,Chennai,2022-08-13,519429,2024-08-31
C1886,Kaveri Exports LLP,Corporate,KCRCK2905Z,IN,Financial Services,Mumbai,2022-05-12,1114141,2022-12-01
C1501,Ritu Trivedi,Individual,ANUPT4116T,IN,Import/Export,Pune,2023-09-01,1503641,2025-10-04
C1790,Meridian Enterprises LLP,Corporate,RFQCM3361G,IN,Financial Services,Pune,2023-09-26,1944653,2026-09-24
C2337,Ritu Pillai,Individual,RAUPP8802F,IN,IT Services,Chennai,2023-02-08,447769,2024-06-05
C1580,Gaurav Sethi,Individual,PIRPS7324V,IN,NBFC,Pune,2023-01-05,1226363,2024-03-14
C2775,Varun Joshi,Individual,,IN,Pharma,Ahmedabad,2021-01-28,346743,2022-05-08
C1994,Meridian Ventures Pvt Ltd,Corporate,QRCCM9823M,IN,Agri,Mumbai,2024-08-16,1064160,2027-01-21
C1145,Azad Kirti Jha,Individual,,IN,Real Estate,Pune,2020-05-10,3003365,2021-03-13
C2798,Priya Rao,Individual,LOEPR6816A,IN,NBFC,Chennai,2021-09-02,928065,2022-08-07
C2077,Satpura Enterprises Ltd,Corporate,DPECS1543X,IN,Agri,Kolkata,2021-12-20,2453924,2024-09-25
C2333,Vikram Chauhan,Individual,,IN,Real Estate,Bengaluru,2022-04-06,998576,2023-10-22
C2422,Nilgiri Chemicals LLP,Corporate,,IN,Agri,Ahmedabad,2019-09-06,690343,2021-09-10
C1064,Dr. Niranjani,Individual,,IN,Import/Export,Mumbai,2019-03-29,4468017,2021-09-29
C1446,Zenith Infra India Pvt Ltd,Corporate,ZXYCZ3937D,IN,Commodities,Ahmedabad,2019-09-10,1689278,2021-11-24
C1230,SAJAD SETHI,Individual,OQZPS7051V,IN,Commodities,Mumbai,2023-01-06,806174,2024-11-22
C2227,Arjun Bhardwaj,Individual,MWWPB8310U,IN,Infrastructure,Ahmedabad,2022-10-06,1021012,2025-09-29
C1044,M/s. Vaibhav Pariwar India Prjects Limited,Corporate,AACCV9807F,IN,Pharma,Ahmedabad,2019-03-13,15735393,2020-03-26
C1618,Tanvi Chauhan,Individual,LFPPC1038N,IN,Import/Export,Delhi,2019-06-23,3253570,2022-06-27
C2666,Nilgiri Ventures LLP,Corporate,YVICN3292D,IN,Real Estate,Kolkata,2024-10-30,169321,2026-04-04
C1016,"Mr. Chander, Shekhar",Individual,AOJPC1765M,IN,IT Services,Chennai,2024-11-10,23113,2027-11-14
C2505,Neha Trivedi,Individual,JVLPT8329Q,IN,Import/Export,Bengaluru,2025-05-22,1353104,2026-11-27
C2865,Sundara Enterprises Pvt Ltd,Corporate,TDTCS6302J,IN,Pharma,Chennai,2019-10-15,881024,2022-07-09
C1779,Neha Vaidya,Individual,YCRPV0240X,IN,Import/Export,Hyderabad,2019-08-30,33295482,2021-05-13
C1652,Chandra Exports Ltd,Corporate,YIYCC7541O,IN,Financial Services,Pune,2025-06-22,745969,2027-02-12
C1493,Isha Kulkarni,Individual,GGDPK3623Z,IN,Pharma,Kolkata,2024-01-31,182554,2026-06-24
C1317,Nilgiri Holdings Pvt Ltd,Corporate,QFMCN5768F,IN,Real Estate,Chennai,2019-04-10,3219314,2020-08-17
C2182,Aravali Industries Ltd,Corporate,BHUCA0189H,IN,NBFC,Hyderabad,2025-04-09,3569890,2025-12-29
C2087,Kaveri Ventures Ltd,Corporate,,IN,IT Services,Pune,2024-11-27,344761,2026-09-29
C2916,Deepak Menon,Individual,AECPM4054D,IN,Infrastructure,Mumbai,2023-07-25,4039220,2025-07-01
C1864,Deepak Dutta,Individual,XUSPD8845C,IN,Commodities,Bengaluru,2022-12-21,811028,2025-06-25
C1046,Mr. Indian Agri Services Private Limited,Corporate,AACCI7169M,IN,IT Services,Ahmedabad,2020-03-13,8488359,2021-12-26
C1330,Bhaskar Exports Pvt Ltd,Corporate,HGJCB3560U,IN,Agri,Chennai,2023-10-21,849604,2025-12-31
C2535,Aditya Saxena,Individual,DQRPS2855I,IN,Infrastructure,Kolkata,2022-03-05,5375582,2025-02-26
C2980,Varun Ghosh,Individual,XVFPG7242S,IN,Import/Export,Bengaluru,2022-09-17,130993,2025-05-11
C1572,Chandra Enterprises Pvt Ltd,Corporate,RQZCC7284T,IN,Pharma,Chennai,2024-12-19,346013,2026-12-16
C2790,Chandra Ventures Pvt Ltd,Corporate,IVGCC1750Z,IN,Infrastructure,Chennai,2025-05-01,520952,2027-03-27
C1370,Neha Nair,Individual,EVNPN0725J,IN,Real Estate,Mumbai,2023-09-20,528953,2024-06-11
C2673,Priya Bhatt,Individual,KEUPB2216O,IN,Gems & Jewellery,Pune,2020-06-07,20335430,2021-06-17
C2866,Anjali Chatterjee,Individual,GJLPC8293I,IN,Infrastructure,Mumbai,2025-02-01,13226663,2027-12-05
C1578,Swati Mehta,Individual,JNXPM5019R,IN,Real Estate,Delhi,2024-03-19,1105991,2025-09-28
C2573,Chandra Chemicals Ltd,Corporate,,IN,Pharma,Bengaluru,2019-08-28,2029254,2020-08-01
C1097,SUDHASH NATARAJAN,Individual,JRDPN3743H,IN,Import/Export,Pune,2021-07-14,3763320,2022-11-17
C2712,Bhaskar Industries Pvt Ltd,Corporate,,IN,NBFC,Ahmedabad,2023-07-26,308042,2025-04-10
C2669,Gaurav Nair,Individual,CKDPN2620H,IN,IT Services,Pune,2024-02-15,8175310,2025-12-14
C2615,Shreya Sethi,Individual,BZHPS3882L,IN,Import/Export,Chennai,2020-10-13,1868339,2022-03-13
C1871,Rehan Bhardwaj,Individual,DGLPB7694P,IN,NBFC,Delhi,2022-03-26,825269,2025-01-31
C2558,Konark Capital Pvt Ltd,Corporate,,IN,Agri,Ahmedabad,2021-02-03,709904,2022-05-01
C2781,Meridian Chemicals Pvt Ltd,Corporate,SMJCM7741Z,IN,NBFC,Ahmedabad,2019-10-20,653236,2022-01-03
C1577,Kunal Iyer,Individual,RQJPI3267H,IN,Gems & Jewellery,Ahmedabad,2022-10-11,4106540,2024-02-12
C1298,Meridian Exports India Pvt Ltd,Corporate,YRKCM9085Z,IN,Gems & Jewellery,Hyderabad,2023-04-04,2821248,2026-02-12
C2475,Preeti Malhotra,Individual,XERPM8911V,IN,Commodities,Mumbai,2025-05-11,665954,2027-02-28
C1981,Isha Reddy,Individual,AWKPR6108C,IN,Pharma,Kolkata,2023-09-13,40884628,2025-05-01
C1054,Shri Sunipa Das,Individual,WBFPD7818M,IN,IT Services,Pune,2025-05-26,565240,2027-03-11
C2785,Meridian Industries LLP,Corporate,NRYCM0860J,IN,Real Estate,Delhi,2021-05-11,2529375,2022-11-13
C1156,Awadhesh Prasad,Individual,,IN,Import/Export,Hyderabad,2021-09-22,79513,2022-05-12
C1193,Drupati Devi,Individual,,IN,Commodities,Kolkata,2020-01-02,767307,2021-09-17
C2112,Sundara Logistics Pvt Ltd,Corporate,EHYCS5383X,IN,Infrastructure,Bengaluru,2022-04-07,1535789,2024-08-12
C1617,Nisha Nair,Individual,ABRPN0803R,IN,IT Services,Bengaluru,2019-09-11,3012721,2020-08-30
C2282,Zoya Chauhan,Individual,CLMPC9588D,IN,Pharma,Pune,2021-04-17,298553,2022-06-14
C1363,Bhaskar Logistics India Pvt Ltd,Corporate,,IN,Financial Services,Pune,2025-02-18,4288896,2026-12-11
C2393,Anantara Holdings LLP,Corporate,ZMWCA2800E,IN,Import/Export,Kolkata,2019-09-11,1377439,2020-10-31
C2423,Kaveri Enterprises Ltd,Corporate,,IN,Import/Export,Ahmedabad,2023-05-08,1070570,2025-10-26
C2596,Pooja Saxena,Individual,ERAPS7365Y,IN,Import/Export,Bengaluru,2021-04-24,1227025,2022-10-11
C1536,Bhaskar Textiles India Pvt Ltd,Corporate,SFLCB5543K,IN,Financial Services,Bengaluru,2019-12-08,548758,2020-09-09
C1081,Sasanka Roy Sarkar,Individual,,IN,Agri,Delhi,2021-11-11,766789,2024-03-13
C2415,Chandra Textiles India Pvt Ltd,Corporate,SYHCC5044K,IN,IT Services,Delhi,2024-06-01,1713091,2025-02-20
C2349,Zoya Mehta,Individual,EKTPM1585A,IN,Import/Export,Hyderabad,2023-06-25,3137724,2026-05-18
C1712,Rehan Saxena,Individual,UOAPS2208L,IN,Agri,Delhi,2020-05-09,127350,2021-11-19
C2830,Meridian Enterprises Pvt Ltd,Corporate,LFHCM4776G,IN,Pharma,Chennai,2023-07-15,8232636,2024-09-27
C2767,Chandra Infra LLP,Corporate,VEMCC0695C,IN,Gems & Jewellery,Ahmedabad,2020-08-12,3869681,2021-04-25
C2975,Anantara Holdings LLP,Corporate,PYICA6180R,IN,Agri,Delhi,2022-09-11,413635,2023-12-05
C2278,Manav Menon,Individual,FJKPM5530M,IN,Real Estate,Pune,2022-08-18,3375456,2025-03-08
C1132,Shri. Anand Mohan,Individual,ODZPM1210U,IN,Import/Export,Delhi,2020-05-27,9933811,2022-12-07
C2180,Pooja Pillai,Individual,,IN,Agri,Bengaluru,2022-11-14,483892,2025-01-31
C1434,Preeti Saxena,Individual,,IN,Import/Export,Hyderabad,2024-10-10,76954,2026-03-22
C2696,Meridian Exports India Pvt Ltd,Corporate,VNTCM3361C,IN,Financial Services,Ahmedabad,2024-04-18,1344133,2024-12-23
C1681,Meridian Textiles Pvt Ltd,Corporate,DULCM4960R,IN,IT Services,Chennai,2021-06-19,533332,2024-02-26
C1905,Nisha Menon,Individual,ZZIPM1209M,IN,IT Services,Delhi,2022-05-16,12180484,2024-12-11
C1284,Gaurav Saxena,Individual,IYDPS7395T,IN,Financial Services,Pune,2023-09-21,6272237,2025-07-21
C1749,Ritu Ghosh,Individual,,IN,Pharma,Ahmedabad,2019-11-15,1582039,2020-11-22
C1102,Mr. Deepak Singare,Individual,FNXPS7780G,IN,IT Services,Mumbai,2019-12-12,13530942,2022-05-31
C1271,Vikram Vaidya,Individual,UKGPV8984M,IN,Financial Services,Bengaluru,2020-03-24,168101,2022-01-13
C1916,Vindhya Textiles India Pvt Ltd,Corporate,LPRCV3246D,IN,Agri,Chennai,2023-03-14,2715678,2025-11-23
C1874,Rahul Reddy,Individual,PIXPR1004C,IN,Financial Services,Ahmedabad,2021-04-15,3956438,2022-04-19
C2095,Kaveri Enterprises India Pvt Ltd,Corporate,GBWCK9582V,IN,Agri,Mumbai,2023-04-16,2839206,2024-09-18
C2037,Kaveri Capital Ltd,Corporate,MHJCK5433G,IN,Import/Export,Kolkata,2024-09-26,2210409,2025-08-20
C1285,Meridian Ventures LLP,Corporate,ZTQCM2224H,IN,Real Estate,Ahmedabad,2021-07-24,4762342,2022-05-07
C1347,Siddharth Bose,Individual,IQBPB3596W,IN,Pharma,Mumbai,2020-08-23,1592288,2021-08-25
C1417,Ritu Mehta,Individual,RKEPM3337G,IN,Agri,Mumbai,2022-09-15,10020740,2025-01-08
C1971,Chandra Capital India Pvt Ltd,Corporate,ZEVCC0361L,IN,Financial Services,Chennai,2025-06-30,4779772,2026-12-06
C1139,Tapas Mandal,Individual,,IN,Pharma,Kolkata,2022-12-24,3379545,2025-11-27
C2755,Kaveri Infra LLP,Corporate,LBTCK6372H,IN,Commodities,Kolkata,2019-03-23,10990123,2021-01-13
C2167,Ananya Bhattacharya,Individual,,IN,IT Services,Hyderabad,2024-08-20,630201,2025-11-19
C2214,Anantara Industries India Pvt Ltd,Corporate,MJOCA2557K,IN,Pharma,Chennai,2022-06-05,8320436,2023-09-24
C2691,Rohan Pillai,Individual,KNGPP7961L,IN,Infrastructure,Delhi,2020-11-07,1596194,2022-02-04
C1078,Sankalp Garg,Individual,,IN,Real Estate,Kolkata,2020-02-09,235632,2022-03-03
C2641,Kaveri Chemicals Pvt Ltd,Corporate,AMYCK1146L,IN,Real Estate,Chennai,2024-06-14,419596,2026-01-06
C1738,Satpura Capital Ltd,Corporate,QVTCS6883I,IN,NBFC,Mumbai,2019-10-04,1858388,2021-04-02
C1497,Anantara Logistics India Pvt Ltd,Corporate,PJECA7273Q,IN,Import/Export,Ahmedabad,2021-03-14,820926,2023-03-25
C2262,Zenith Exports India Pvt Ltd,Corporate,DSJCZ1830E,IN,Financial Services,Ahmedabad,2020-08-26,3648533,2022-06-19
C2253,Aravali Holdings Ltd,Corporate,,IN,Import/Export,Ahmedabad,2019-11-05,5787985,2021-11-18
C1228,"Reddy, Sajjad",Individual,YDJPR2288Y,IN,Infrastructure,Ahmedabad,2025-03-16,12546733,2027-03-10
C1437,Siddharth Malhotra,Individual,PZSPM3309R,IN,Import/Export,Kolkata,2019-04-24,2773362,2021-09-09
C2458,Bhaskar Infra Pvt Ltd,Corporate,,IN,Commodities,Mumbai,2019-10-21,376887,2022-10-17
C2230,Gaurav Kulkarni,Individual,EWDPK2760W,IN,Commodities,Kolkata,2021-01-07,3157542,2023-10-10
C1680,Preeti Vaidya,Individual,,IN,Financial Services,Ahmedabad,2020-09-14,2658614,2023-04-12
C2442,Shreya Saxena,Individual,FHRPS0770F,IN,Import/Export,Mumbai,2022-12-23,855192,2025-06-29
C2665,Sneha Bhatt,Individual,,IN,Pharma,Hyderabad,2022-07-18,888238,2023-07-11
C2244,Sneha Pillai,Individual,FMGPP9028Q,IN,Agri,Hyderabad,2025-02-17,10775029,2028-02-03
C2803,Satpura Ventures Pvt Ltd,Corporate,,IN,Commodities,Delhi,2021-12-22,7999714,2024-08-10
C2701,Konark Textiles India Pvt Ltd,Corporate,ITJCK4799W,IN,Infrastructure,Pune,2020-04-17,7035663,2022-01-21
C1967,Kaveri Industries LLP,Corporate,VXRCK0045T,IN,Pharma,Delhi,2020-04-23,2191667,2022-07-04
C2685,Vindhya Infra Pvt Ltd,Corporate,,IN,Real Estate,Bengaluru,2021-06-26,2477535,2024-06-14
C1926,Swati Nair,Individual,NRGPN3213G,IN,Gems & Jewellery,Hyderabad,2021-01-14,229309,2022-10-13
C1276,Meridian Industries LLP,Corporate,FUQCM9336D,IN,Financial Services,Mumbai,2022-10-13,842103,2024-02-14
C1999,Bhaskar Industries India Pvt Ltd,Corporate,,IN,Real Estate,Pune,2019-06-16,1559038,2020-11-03
C2810,Zoya Chatterjee,Individual,YVDPC2579Y,IN,IT Services,Ahmedabad,2025-07-18,29480897,2027-09-05
C1676,Konark Holdings Pvt Ltd,Corporate,,IN,NBFC,Delhi,2021-05-21,1226933,2022-12-25
C1431,Meera Dutta,Individual,YYOPD5234O,IN,Pharma,Delhi,2021-02-09,6204099,2023-08-13
C1464,Arjun Dutta,Individual,,IN,Real Estate,Hyderabad,2019-09-23,1404835,2022-01-23
C1650,Anantara Capital LLP,Corporate,HSYCA9350M,IN,Commodities,Mumbai,2021-04-15,1293671,2022-04-16
C2540,Nisha Reddy,Individual,UDAPR6092F,IN,Infrastructure,Ahmedabad,2023-04-21,4849695,2025-02-19
C2443,Aravali Enterprises LLP,Corporate,,IN,Real Estate,Bengaluru,2023-01-25,6020199,2023-12-12
C1299,Swati Bhattacharya,Individual,IYCPB4103H,IN,Commodities,Bengaluru,2023-07-01,633720,2025-01-27
C2609,Tanvi Joshi,Individual,,IN,IT Services,Ahmedabad,2025-05-29,6726523,2027-06-21
C1012,Shri Pradeep Kumar Pattnaik,Individual,ADAPP6395C,IN,NBFC,Pune,2019-05-27,35985700,2021-08-18
C1812,Neha Pillai,Individual,AGWPP4487P,IN,Import/Export,Mumbai,2021-05-22,840533,2023-10-04
C1802,Nikhil Bhardwaj,Individual,QTXPB1631P,IN,NBFC,Hyderabad,2019-12-15,1264995,2022-10-26
C1855,Satpura Logistics India Pvt Ltd,Corporate,YZICS7668Z,IN,Infrastructure,Delhi,2022-03-29,3835730,2023-12-08
C1907,Zoya Saxena,Individual,,IN,Infrastructure,Ahmedabad,2024-11-11,319360,2025-12-22
C1433,Satpura Capital Pvt Ltd,Corporate,,IN,Agri,Pune,2025-03-23,945310,2027-08-27
C2618,Nikhil Kulkarni,Individual,BFNPK6817O,IN,Agri,Chennai,2024-04-02,6425915,2025-08-29
C1162,Anil Firojiya,Individual,VTYPF3146J,IN,Real Estate,Pune,2020-10-16,6001446,2022-09-12
